schema_version,provider,provider_detail,operation,m,n,activation_dtype,weight_dtype,weight_mode,eps,cold_compile_ms,cold_compile_reused,median_us,p10_us,p90_us,logical_bytes,logical_gbps,peak_bw_gbps,peak_bw_pct,rotation_buffers,rotation_working_set_bytes,l2_target_bytes,l2_eviction_between_calls,timed_samples
2,quack_tuned,"quack.rmsnorm.rmsnorm_bwd_tuned (CuTe, autotuned)",bwd,512,4096,float16,float32,float32,1e-06,46291.764722,False,15.944,15.7208,17.206401,12617728,791.377806,4312.724204,18.349836,4,50470912,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,512,4096,float16,float32,float32,1e-06,1.78891,False,16.76,16.020001,32.3256,12617728,752.847731,4312.724204,17.456431,4,50470912,188743680,True,12
2,torch,torch.nn.functional.rms_norm autograd,bwd,512,4096,float16,float32,float32,1e-06,,False,182.560004,178.450406,242.725599,12617728,69.115511,4312.724204,1.602595,4,50470912,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_fwd_tuned (CuTe, autotuned)",fwd,512,4096,bfloat16,bfloat16,same,1e-06,6114.90502,False,6.108,5.8224,6.3496,8396800,1374.721689,4312.724204,31.875947,4,33587200,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,512,4096,bfloat16,bfloat16,same,1e-06,0.079994,False,6.456,6.148,6.76,8396800,1300.619572,4312.724204,30.157727,4,33587200,188743680,True,12
2,torch,torch.nn.functional.rms_norm,fwd,512,4096,bfloat16,bfloat16,same,1e-06,,False,10.492,10.2992,11.0792,8396800,800.30501,4312.724204,18.556833,4,33587200,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_bwd_tuned (CuTe, autotuned)",bwd,512,4096,bfloat16,bfloat16,same,1e-06,47633.372221,False,22.76,21.699999,25.012001,12601344,553.661861,4312.724204,12.837868,4,50405376,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,512,4096,bfloat16,bfloat16,same,1e-06,2.247268,False,23.364,21.872001,29.008,12601344,539.348741,4312.724204,12.505987,4,50405376,188743680,True,12
2,torch,torch.nn.functional.rms_norm autograd,bwd,512,4096,bfloat16,bfloat16,same,1e-06,,False,46.392001,45.867201,48.296801,12601344,271.627515,4312.724204,6.298282,4,50405376,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_fwd_tuned (CuTe, autotuned)",fwd,512,4096,bfloat16,float32,float32,1e-06,6851.44326,False,6.0,5.7888,6.1568,8404992,1400.831988,4312.724204,32.481372,4,33619968,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,512,4096,bfloat16,float32,float32,1e-06,0.079691,False,6.448,6.2024,6.6024,8404992,1303.503681,4312.724204,30.224601,4,33619968,188743680,True,12
2,torch,torch.nn.functional.rms_norm,fwd,512,4096,bfloat16,float32,float32,1e-06,,False,51.664,51.251199,52.296,8404992,162.68566,4312.724204,3.772225,4,33619968,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_bwd_tuned (CuTe, autotuned)",bwd,512,4096,bfloat16,float32,float32,1e-06,45454.658981,False,16.452,16.1696,21.018399,12617728,766.941913,4312.724204,17.783236,4,50470912,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,512,4096,bfloat16,float32,float32,1e-06,2.211896,False,16.432,16.1504,17.5928,12617728,767.87535,4312.724204,17.80488,4,50470912,188743680,True,12
2,torch,torch.nn.functional.rms_norm autograd,bwd,512,4096,bfloat16,float32,float32,1e-06,,False,182.839997,180.324797,188.151205,12617728,69.009671,4312.724204,1.600141,4,50470912,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_fwd_tuned (CuTe, autotuned)",fwd,512,4096,float32,float32,same,1e-06,7623.593846,False,7.636,7.4864,8.28,16793600,2199.26665,4312.724204,50.994836,4,67174400,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,512,4096,float32,float32,same,1e-06,0.067416,False,8.624,8.2304,8.8144,16793600,1947.309831,4312.724204,45.152663,4,67174400,188743680,True,12
2,torch,torch.nn.functional.rms_norm,fwd,512,4096,float32,float32,same,1e-06,,False,10.544,10.3008,10.6304,16793600,1592.716207,4312.724204,36.93063,4,67174400,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_bwd_tuned (CuTe, autotuned)",bwd,512,4096,float32,float32,same,1e-06,59273.629738,False,19.016,18.8264,19.332,25200640,1325.233522,4312.724204,30.728455,4,100802560,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,512,4096,float32,float32,same,1e-06,2.21133,False,19.172001,18.8712,19.415201,25200640,1314.450192,4312.724204,30.47842,4,100802560,188743680,True,12
2,torch,torch.nn.functional.rms_norm autograd,bwd,512,4096,float32,float32,same,1e-06,,False,49.195999,48.244799,52.4344,25200640,512.249784,4312.724204,11.877638,4,100802560,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_fwd_tuned (CuTe, autotuned)",fwd,4096,3000,float16,float16,same,1e-06,10279.347336,False,18.808,18.6432,20.162399,49158000,2613.675061,4312.724204,60.603807,4,196632000,188743680,False,12
