2026/09/25 01:17:39.378, 0, 2070 MHz, 3996 MHz, 407.87 W, 37, 96 %, 0x0000000000000000
2026/09/25 01:17:39.379, 1, 2070 MHz, 3996 MHz, 394.92 W, 37, 94 %, 0x0000000000000000
2026/09/25 01:17:39.379, 2, 2070 MHz, 3996 MHz, 386.39 W, 37, 20 %, 0x0000000000000000
2026/09/25 01:17:39.379, 3, 2070 MHz, 3996 MHz, 396.28 W, 37, 96 %, 0x0000000000000000
2026/09/25 01:17:39.579, 0, 2070 MHz, 3996 MHz, 405.88 W, 36, 86 %, 0x0000000000000000
2026/09/25 01:17:39.579, 1, 2070 MHz, 3996 MHz, 395.47 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:39.579, 2, 2070 MHz, 3996 MHz, 388.78 W, 36, 65 %, 0x0000000000000000
2026/09/25 01:17:39.579, 3, 2070 MHz, 3996 MHz, 397.04 W, 36, 96 %, 0x0000000000000000
2026/09/25 01:17:39.779, 0, 2070 MHz, 3996 MHz, 404.63 W, 37, 85 %, 0x0000000000000000
2026/09/25 01:17:39.779, 1, 2070 MHz, 3996 MHz, 393.71 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:17:39.779, 2, 2070 MHz, 3996 MHz, 389.23 W, 36, 79 %, 0x0000000000000000
2026/09/25 01:17:39.779, 3, 2070 MHz, 3996 MHz, 398.64 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:39.979, 0, 2070 MHz, 3996 MHz, 400.33 W, 36, 94 %, 0x0000000000000000
2026/09/25 01:17:39.979, 1, 2070 MHz, 3996 MHz, 390.11 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:39.979, 2, 2070 MHz, 3996 MHz, 388.55 W, 37, 72 %, 0x0000000000000000
2026/09/25 01:17:39.979, 3, 2070 MHz, 3996 MHz, 403.14 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:17:40.179, 0, 2070 MHz, 3996 MHz, 409.66 W, 36, 87 %, 0x0000000000000000
2026/09/25 01:17:40.179, 1, 2070 MHz, 3996 MHz, 403.07 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:40.179, 2, 2070 MHz, 3996 MHz, 400.10 W, 36, 72 %, 0x0000000000000000
2026/09/25 01:17:40.179, 3, 2070 MHz, 3996 MHz, 412.75 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:17:40.379, 0, 2070 MHz, 3996 MHz, 410.82 W, 37, 83 %, 0x0000000000000000
2026/09/25 01:17:40.379, 1, 2070 MHz, 3996 MHz, 409.51 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:17:40.379, 2, 2070 MHz, 3996 MHz, 405.36 W, 37, 79 %, 0x0000000000000000
2026/09/25 01:17:40.379, 3, 2070 MHz, 3996 MHz, 416.71 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:17:40.579, 0, 2070 MHz, 3996 MHz, 410.51 W, 37, 94 %, 0x0000000000000000
2026/09/25 01:17:40.579, 1, 2070 MHz, 3996 MHz, 411.41 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:17:40.579, 2, 2070 MHz, 3996 MHz, 403.88 W, 36, 77 %, 0x0000000000000000
2026/09/25 01:17:40.579, 3, 2070 MHz, 3996 MHz, 413.37 W, 37, 100 %, 0x0000000000000000
