2026/09/25 01:26:02.219, 0, 2070 MHz, 3996 MHz, 454.84 W, 37, 97 %, 0x0000000000000000
2026/09/25 01:26:02.219, 1, 2070 MHz, 3996 MHz, 453.17 W, 37, 97 %, 0x0000000000000000
2026/09/25 01:26:02.219, 2, 2070 MHz, 3996 MHz, 446.60 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:26:02.219, 3, 2070 MHz, 3996 MHz, 441.27 W, 38, 58 %, 0x0000000000000000
2026/09/25 01:26:02.419, 0, 2070 MHz, 3996 MHz, 452.73 W, 38, 58 %, 0x0000000000000000
2026/09/25 01:26:02.419, 1, 2070 MHz, 3996 MHz, 455.47 W, 39, 69 %, 0x0000000000000000
2026/09/25 01:26:02.419, 2, 2070 MHz, 3996 MHz, 447.82 W, 39, 89 %, 0x0000000000000000
2026/09/25 01:26:02.419, 3, 2070 MHz, 3996 MHz, 449.59 W, 38, 90 %, 0x0000000000000000
2026/09/25 01:26:02.619, 0, 2070 MHz, 3996 MHz, 460.74 W, 38, 52 %, 0x0000000000000000
2026/09/25 01:26:02.619, 1, 2070 MHz, 3996 MHz, 466.77 W, 37, 93 %, 0x0000000000000000
2026/09/25 01:26:02.619, 2, 2070 MHz, 3996 MHz, 455.36 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:26:02.619, 3, 2070 MHz, 3996 MHz, 457.69 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:26:02.819, 0, 2070 MHz, 3996 MHz, 471.99 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:26:02.819, 1, 2070 MHz, 3996 MHz, 475.48 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:26:02.819, 2, 2070 MHz, 3996 MHz, 463.79 W, 38, 100 %, 0x0000000000000000
2026/09/25 01:26:02.819, 3, 2070 MHz, 3996 MHz, 468.07 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:26:03.019, 0, 2070 MHz, 3996 MHz, 479.35 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:26:03.019, 1, 2070 MHz, 3996 MHz, 479.94 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:26:03.019, 2, 2070 MHz, 3996 MHz, 471.04 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:26:03.019, 3, 2070 MHz, 3996 MHz, 475.20 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:26:03.219, 0, 2070 MHz, 3996 MHz, 489.12 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:26:03.219, 1, 2070 MHz, 3996 MHz, 484.33 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:26:03.220, 2, 2070 MHz, 3996 MHz, 476.98 W, 38, 99 %, 0x0000000000000000
