"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
4,6836,"v_cndmask_b32_e64 v49, 0, 1, s[26:27]",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:476"
4,6844,"s_lshl_b32 s1, s0, 14",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:490"
4,6848,"s_lshl_b32 s16, s16, 12",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:490"
4,6852,"v_or_b32_e32 v27, 8, v49",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:476"
4,6856,"s_mul_i32 s23, s23, 0x30000",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:489"
4,6864,"s_add_i32 s1, s1, s16",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:490"
4,6868,"v_or_b32_e32 v13, 28, v49",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:476"
4,6872,"v_or_b32_e32 v26, 10, v49",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:476"
4,6876,"v_lshlrev_b32_e32 v2, 2, v48",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:475"
4,6880,"v_lshlrev_b32_e32 v6, 7, v27",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:490"
4,6884,"s_add_i32 s1, s1, s23",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:490"
4,6888,"v_or_b32_e32 v1, s17, v49",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:476"
