2026/09/25 01:14:37.413, 3, 2070 MHz, 3996 MHz, 463.39 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:14:37.613, 0, 2070 MHz, 3996 MHz, 449.75 W, 37, 93 %, 0x0000000000000000
2026/09/25 01:14:37.613, 1, 2070 MHz, 3996 MHz, 452.95 W, 37, 69 %, 0x0000000000000000
2026/09/25 01:14:37.613, 2, 2070 MHz, 3996 MHz, 447.51 W, 39, 44 %, 0x0000000000000000
2026/09/25 01:14:37.613, 3, 2070 MHz, 3996 MHz, 449.47 W, 36, 99 %, 0x0000000000000000
2026/09/25 01:14:37.813, 0, 2070 MHz, 3996 MHz, 457.56 W, 39, 39 %, 0x0000000000000000
2026/09/25 01:14:37.813, 1, 2070 MHz, 3996 MHz, 453.58 W, 38, 88 %, 0x0000000000000000
2026/09/25 01:14:37.813, 2, 2070 MHz, 3996 MHz, 456.33 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:37.813, 3, 2070 MHz, 3996 MHz, 463.56 W, 39, 36 %, 0x0000000000000000
2026/09/25 01:14:38.013, 0, 2070 MHz, 3996 MHz, 462.38 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:14:38.013, 1, 2070 MHz, 3996 MHz, 455.94 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:38.013, 2, 2070 MHz, 3996 MHz, 460.98 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:38.013, 3, 2070 MHz, 3996 MHz, 466.88 W, 37, 95 %, 0x0000000000000000
2026/09/25 01:14:38.214, 0, 2070 MHz, 3996 MHz, 467.48 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:38.214, 1, 2070 MHz, 3996 MHz, 459.02 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:38.214, 2, 2070 MHz, 3996 MHz, 465.03 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:38.214, 3, 2070 MHz, 3996 MHz, 470.72 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:38.414, 0, 2070 MHz, 3996 MHz, 473.61 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:38.414, 1, 2070 MHz, 3996 MHz, 462.28 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:38.414, 2, 2070 MHz, 3996 MHz, 471.40 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:38.414, 3, 2070 MHz, 3996 MHz, 475.47 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:38.614, 0, 2070 MHz, 3996 MHz, 483.75 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:38.614, 1, 2070 MHz, 3996 MHz, 473.42 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:38.614, 2, 2070 MHz, 3996 MHz, 473.36 W, 39, 60 %, 0x0000000000000000
2026/09/25 01:14:38.614, 3, 2070 MHz, 3996 MHz, 484.66 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:38.814, 0, 2070 MHz, 3996 MHz, 474.06 W, 38, 46 %, 0x0000000000000000
2026/09/25 01:14:38.814, 1, 2070 MHz, 3996 MHz, 472.36 W, 38, 92 %, 0x0000000000000000
2026/09/25 01:14:38.814, 2, 2070 MHz, 3996 MHz, 482.47 W, 38, 89 %, 0x0000000000000000
2026/09/25 01:14:38.814, 3, 2070 MHz, 3996 MHz, 471.16 W, 38, 77 %, 0x0000000000000000
2026/09/25 01:14:39.014, 0, 2070 MHz, 3996 MHz, 479.07 W, 38, 96 %, 0x0000000000000000
2026/09/25 01:14:39.014, 1, 2070 MHz, 3996 MHz, 480.24 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:39.014, 2, 2070 MHz, 3996 MHz, 483.01 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:39.014, 3, 2070 MHz, 3996 MHz, 475.35 W, 38, 91 %, 0x0000000000000000
2026/09/25 01:14:39.214, 0, 2070 MHz, 3996 MHz, 481.76 W, 38, 100 %, 0x0000000000000000
2026/09/25 01:14:39.214, 1, 2070 MHz, 3996 MHz, 482.22 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:39.214, 2, 2070 MHz, 3996 MHz, 484.31 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:39.214, 3, 2070 MHz, 3996 MHz, 477.41 W, 38, 100 %, 0x0000000000000000
2026/09/25 01:14:39.414, 0, 2070 MHz, 3996 MHz, 483.45 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:39.414, 1, 2070 MHz, 3996 MHz, 483.86 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:39.414, 2, 2070 MHz, 3996 MHz, 486.18 W, 38, 100 %, 0x0000000000000000
2026/09/25 01:14:39.414, 3, 2070 MHz, 3996 MHz, 479.82 W, 38, 100 %, 0x0000000000000000
2026/09/25 01:14:39.614, 0, 2070 MHz, 3996 MHz, 485.28 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:39.614, 1, 2070 MHz, 3996 MHz, 484.29 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:39.614, 2, 2070 MHz, 3996 MHz, 492.97 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:39.614, 3, 2070 MHz, 3996 MHz, 482.69 W, 38, 100 %, 0x0000000000000000
2026/09/25 01:14:39.814, 0, 2070 MHz, 3996 MHz, 482.35 W, 37, 95 %, 0x0000000000000000
2026/09/25 01:14:39.815, 1, 2070 MHz, 3996 MHz, 476.51 W, 38, 71 %, 0x0000000000000000
2026/09/25 01:14:39.815, 2, 2070 MHz, 3996 MHz, 474.90 W, 39, 68 %, 0x0000000000000000
2026/09/25 01:14:39.815, 3, 2070 MHz, 3996 MHz, 482.98 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:14:40.015, 0, 2070 MHz, 3996 MHz, 483.76 W, 39, 39 %, 0x0000000000000000
2026/09/25 01:14:40.015, 1, 2070 MHz, 3996 MHz, 475.09 W, 38, 89 %, 0x0000000000000000
2026/09/25 01:14:40.015, 2, 2070 MHz, 3996 MHz, 484.76 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:40.015, 3, 2070 MHz, 3996 MHz, 487.66 W, 39, 42 %, 0x0000000000000000
2026/09/25 01:14:40.215, 0, 2070 MHz, 3996 MHz, 482.63 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:40.215, 1, 2070 MHz, 3996 MHz, 473.40 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:40.215, 2, 2070 MHz, 3996 MHz, 483.00 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:40.215, 3, 2070 MHz, 3996 MHz, 485.14 W, 38, 96 %, 0x0000000000000000
2026/09/25 01:14:40.415, 0, 2070 MHz, 3996 MHz, 482.29 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:40.415, 1, 2070 MHz, 3996 MHz, 472.14 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:40.415, 2, 2070 MHz, 3996 MHz, 480.42 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:40.415, 3, 2070 MHz, 3996 MHz, 483.46 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:40.615, 0, 2070 MHz, 3996 MHz, 479.55 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:40.615, 1, 2070 MHz, 3996 MHz, 469.27 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:40.615, 2, 2070 MHz, 3996 MHz, 475.61 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:40.615, 3, 2070 MHz, 3996 MHz, 479.72 W, 38, 99 %, 0x0000000000000000
